train MSE,val MSE,train crossentropy,val crossentropy
28.41848,11.070079,3.7958558,3.1560166
11.261639,9.020876,3.175935,3.0154688
9.781672,9.573917,2.9806783,2.9826562
9.510573,10.53437,2.9005105,3.1927242
9.08374,7.992724,2.8584058,2.7134945
9.011196,7.872274,2.836326,2.7036264
8.668394,8.193345,2.7607808,2.73561
8.706042,7.9070635,2.782139,2.7776954
8.268501,7.1998487,2.7127473,2.5703444
8.449896,8.57741,2.699538,2.8333967
8.507925,7.4795094,2.7352815,2.6966565
8.362799,8.012866,2.6952152,2.962623
7.6766305,7.911044,2.630181,2.6738226
7.5214386,7.2782197,2.5944326,2.5952158
7.7003098,6.370354,2.6140027,2.4618099
7.4783254,6.2949734,2.5687995,2.4630208
7.3097043,7.0303054,2.6105752,2.7297163
7.2962193,6.4796505,2.5699065,2.5369463
7.14941,6.7764773,2.5168498,2.5582495
7.5848722,8.222186,2.6086247,2.7725642
6.944012,6.452127,2.5207767,2.5185657
6.867302,6.9269204,2.497263,2.5276098
6.8798556,6.8676524,2.5334322,2.9143453
6.554149,6.12568,2.462084,2.4155753
6.597049,5.9864664,2.4757442,2.6124082
6.630443,5.6857553,2.4619324,2.4191246
6.6611266,6.100738,2.4796228,2.5229688
6.5748615,5.6376076,2.456288,2.3796039
6.216518,5.7797112,2.424215,2.421867
6.296253,5.4630084,2.4436135,2.3806987
6.0547237,6.444275,2.3766117,2.6780815
6.307843,5.3699594,2.431984,2.3418822
6.139004,6.023837,2.4061553,2.408229
6.1782074,6.0007586,2.4244118,2.4123826
5.849773,5.4826164,2.3376286,2.297479
5.757729,4.848391,2.3337674,2.210723
6.1077366,6.0666423,2.418794,2.4653835
5.8292418,5.589282,2.342223,2.327227
5.7188044,5.360812,2.3086324,2.5523832
5.859114,6.0675397,2.3468463,2.8671696
6.059748,5.5472164,2.3910441,2.3944712
5.5064297,5.354283,2.2874234,2.2930286
5.7393827,5.3056803,2.3520443,2.325681
5.466757,4.880953,2.2600064,2.2614384
5.22886,5.269502,2.252453,2.2946794
5.5441127,5.29674,2.3178077,2.2746682
5.50872,5.9967885,2.2914705,2.3628693
5.30832,4.964811,2.233376,2.262744
5.4438577,5.536937,2.2848475,2.2925317
5.2762523,5.296172,2.2452092,2.3117092
5.5302763,4.4927826,2.3059912,2.1797457
5.5370684,5.8443346,2.3091893,2.604132
5.243369,5.1405888,2.239783,2.4643297
5.248614,5.0923405,2.2624772,2.190158
5.0405645,5.1126366,2.2033098,2.272254
5.0658283,4.9136934,2.22738,2.2343
5.172358,4.5996537,2.2457035,2.1532187
5.2976804,5.4954777,2.2554789,2.465817
5.1446495,4.609812,2.2219646,2.221732
4.959304,4.647377,2.1979897,2.1647124
5.0677094,4.3928638,2.2200415,2.1801515
4.8959274,4.798844,2.1733725,2.1883426
4.9587016,4.447613,2.1895776,2.1475885
4.970171,4.4107437,2.1764646,2.1302388
4.8531184,5.0642176,2.177151,2.2409115
5.182444,5.0802317,2.2317588,2.210484
4.7581773,4.6435394,2.1529827,2.1488843
4.801577,4.7345734,2.168866,2.206384
4.6967254,5.297038,2.1917715,2.394708
4.95434,4.4613047,2.19647,2.2069013
4.7330346,4.540825,2.1781445,2.1472492
5.0396576,4.5708423,2.2072468,2.146667
4.902899,4.6964107,2.1938136,2.1508098
4.6653967,4.630217,2.1419168,2.1171744
4.8985257,4.5930314,2.2060633,2.13136
4.8715515,4.1340685,2.1978135,2.0888731
4.6659718,4.4854383,2.1495254,2.1464143
4.733289,4.780486,2.1527712,2.2079968
4.9663415,4.322647,2.2046685,2.13001
4.8059936,4.7490563,2.1600716,2.1796386
4.650272,4.996652,2.1452465,2.2904909
4.56347,5.0067844,2.1166308,2.2580624
4.7381096,4.7111034,2.1568272,2.2042267
4.683866,4.5937524,2.1431835,2.1681564
4.6008563,4.629287,2.149987,2.1986866
4.5383043,4.288639,2.102868,2.1284904
4.6861715,5.0394826,2.134198,2.2859051
4.614927,4.8578,2.134289,2.1814866
4.7766466,5.2422423,2.1723387,2.3275928
4.7050843,4.5674567,2.1685739,2.1456745
4.822189,4.6455493,2.203058,2.201801
4.2194257,4.124545,2.0497298,2.0910456
4.6466384,4.780495,2.1594164,2.1901338
4.4094467,4.5727243,2.1010215,2.2220585
4.343282,4.4014134,2.0695822,2.153577
4.8134723,4.0462766,2.1557493,2.050665
4.423207,4.360513,2.0905004,2.1427538
4.58307,4.350275,2.1431398,2.0962553
4.444731,4.3098593,2.0953157,2.185619
4.868599,4.8845754,2.1818967,2.2890737
4.696151,4.348907,2.1433556,2.1462667
4.5184627,4.3882732,2.1074677,2.1343997
4.4206195,6.2623005,2.0840507,2.6331832
5.190352,4.4972243,2.2407424,2.152529
4.4612217,4.7816763,2.1181672,2.2292078
4.4129148,4.123235,2.125092,2.1099985
4.6591854,4.440025,2.128823,2.1711228
4.8096967,4.340113,2.142955,2.125271
4.452514,4.2686086,2.0614936,2.1139843
4.4330587,4.2954187,2.1096385,2.2375708
4.3414392,3.900612,2.0817375,2.0351655
4.44042,4.801776,2.104401,2.244089
4.510461,4.6342797,2.1060934,2.2077413
4.2939525,4.428657,2.0763898,2.1400502
4.4835663,5.393517,2.0924819,2.3446422
4.32528,4.5676084,2.0601547,2.259566
4.432799,4.2467,2.0910103,2.109234
4.1854906,4.503495,2.036815,2.2210345
4.4351964,4.584505,2.1202571,2.2582996
4.2665653,4.072363,2.036984,2.0887175
4.368775,5.45936,2.0709982,2.368892
4.492817,4.2156286,2.0921466,2.0782595
4.494117,4.7564754,2.1166267,2.1940906
4.448189,4.2629848,2.094975,2.1364584
4.418375,4.3902907,2.0736744,2.1725442
4.2455535,4.580071,2.0459483,2.1305819
4.1265187,4.3319244,2.057663,2.065626
4.349901,4.468361,2.0548162,2.1573517
4.3062863,4.257643,2.0655777,2.1074252
4.3131347,4.241053,2.0594625,2.1003609
4.278595,4.3688707,2.0793495,2.1091678
4.213155,4.623796,2.0726202,2.1630852
4.198367,4.1115503,2.0322902,2.062969
4.1171603,4.4916196,2.0336888,2.125371
4.2697377,4.4068594,2.0261548,2.101586
4.0892606,3.814352,2.0020015,1.9774283
4.4468246,4.7992897,2.1118891,2.2879703
4.128867,4.637004,2.0141933,2.1921985
4.225827,4.1787014,2.056578,2.1260736
4.063872,3.6181543,2.015456,1.9701909
4.073868,4.5604706,2.0298724,2.09121
4.1370807,3.9070008,2.0141747,2.0723917
4.093551,4.166133,2.011367,2.030732
4.3946247,4.2793636,2.0688462,2.095562
4.281706,4.294761,2.0450754,2.146212
4.271535,5.3235183,2.0277379,2.3365097
4.419407,4.312932,2.0823083,2.093145
4.240508,4.2491927,2.0402813,2.1026216
4.120121,4.65021,2.0060062,2.4650948
4.128586,4.5441036,2.0165591,2.127306
4.2022986,4.131316,2.0087214,2.049201
4.404429,4.1964846,2.0605824,2.0854025
4.2715144,3.9499083,2.0567827,2.036409
4.069372,4.3349586,1.9919566,2.0697014
4.2038083,4.586808,2.0457907,2.112773
4.1117907,4.0093985,2.0150757,2.0173426
4.2621455,4.946132,2.0183303,2.4704504
4.18378,4.2764654,2.0370622,2.0950496
4.158475,4.198595,2.0321474,2.0789943
4.349825,4.6803303,2.0718267,2.2050083
4.225228,4.236881,2.052134,2.084563
